ROUTE,DAY,DELAY
ATL-IAH,THU,62.94488189
ATL-IAH,FRI,57.92380952
ATL-IAH,SAT,53.12328767
ATL-ICT,SUN,60.2
ATL-ICT,MON,65.75
ATL-ICT,TUE,48.1875
ATL-ICT,WED,71.30769231
ATL-ICT,THU,68.43478261
ATL-ICT,FRI,53.69565217
ATL-ICT,SAT,52.84210526
ATL-ILM,SUN,50.2962963
ATL-ILM,MON,54.86956522
ATL-ILM,TUE,66.35135135
ATL-ILM,WED,49.46428571
ATL-ILM,THU,67.97777778
ATL-ILM,FRI,39.61111111
ATL-ILM,SAT,52.75
ATL-IND,SUN,56.275
ATL-IND,MON,53.05405405
ATL-IND,TUE,59.01234568
ATL-IND,WED,61.71428571
ATL-IND,THU,48.93277311
ATL-IND,FRI,48.55208333
ATL-IND,SAT,48.09433962
ATL-JAC,TUE,52.66666667
ATL-JAC,THU,75
ATL-JAC,SAT,34
ATL-JAN,SUN,50.71111111
ATL-JAN,MON,47.83333333
ATL-JAN,TUE,58.82352941
ATL-JAN,WED,71.33333333
ATL-JAN,THU,48.42
ATL-JAN,FRI,44.3125
ATL-JAN,SAT,55.66666667
ATL-JAX,SUN,47.80357143
ATL-JAX,MON,44.69230769
ATL-JAX,TUE,50.92035398
ATL-JAX,WED,59.44
ATL-JAX,THU,54.39263804
ATL-JAX,FRI,42.28671329
ATL-JAX,SAT,41.46875
ATL-JFK,SUN,66.77192982
ATL-JFK,MON,72.8028169
ATL-JFK,TUE,71.05797101
ATL-JFK,WED,63.78666667
ATL-JFK,THU,75.67532468
ATL-JFK,FRI,56.50769231
ATL-JFK,SAT,56
ATL-LAN,SUN,15
ATL-LAN,SAT,52.66666667
ATL-LAS,SUN,55.38947368
ATL-LAS,MON,53.975
ATL-LAS,TUE,56.82407407
ATL-LAS,WED,62.03305785
ATL-LAS,THU,65.70547945
ATL-LAS,FRI,57.26804124
ATL-LAS,SAT,66.37662338
ATL-LAX,SUN,43.57042254
ATL-LAX,MON,50.03921569
ATL-LAX,TUE,46.37878788
ATL-LAX,WED,52.86285714
ATL-LAX,THU,47.56157635
ATL-LAX,FRI,53.53521127
ATL-LAX,SAT,50.63963964
ATL-LEX,SUN,57.41025641
ATL-LEX,MON,67.42372881
ATL-LEX,TUE,54.96153846
ATL-LEX,WED,42.63829787
ATL-LEX,THU,50.0625
ATL-LEX,FRI,92.53658537
ATL-LEX,SAT,53.04761905
ATL-LFT,SUN,58.1025641
ATL-LFT,MON,52.03125
ATL-LFT,TUE,62.5
ATL-LFT,WED,43.68965517
ATL-LFT,THU,46.5
ATL-LFT,FRI,56.52380952
ATL-LFT,SAT,49.42857143
ATL-LGA,SUN,64.37623762
ATL-LGA,MON,66.08571429
ATL-LGA,TUE,67.19484241
ATL-LGA,WED,60.46732026
ATL-LGA,THU,62.51204819
ATL-LGA,FRI,50.82686567
ATL-LGA,SAT,61.72180451
ATL-LIT,SUN,50.37037037
ATL-LIT,MON,51.93333333
ATL-LIT,TUE,55.51351351
ATL-LIT,WED,84.13888889
ATL-LIT,THU,47.63461538
ATL-LIT,FRI,41.75757576
ATL-LIT,SAT,34.57894737
ATL-LNK,SUN,83.625
ATL-LNK,MON,59.73333333
ATL-LNK,TUE,42
ATL-LNK,WED,63.53846154
ATL-LNK,THU,57.23076923
ATL-LNK,FRI,48.54545455
ATL-LNK,SAT,75
ATL-MBS,SUN,140
ATL-MBS,SAT,53.33333333
ATL-MCI,SUN,48.78431373
ATL-MCI,MON,51.89534884
ATL-MCI,TUE,67.6125
ATL-MCI,WED,62.38461538
ATL-MCI,THU,49.75925926
ATL-MCI,FRI,45.96590909
ATL-MCI,SAT,54.04081633
ATL-MCO,SUN,44.35858586
ATL-MCO,MON,45.40375587
ATL-MCO,TUE,56.26229508
ATL-MCO,WED,54.74025974
ATL-MCO,THU,57.89818182
ATL-MCO,FRI,53.2489083
ATL-MCO,SAT,55.3814433
ATL-MDT,SUN,40.64285714
ATL-MDT,MON,54.26086957
ATL-MDT,TUE,61
ATL-MDT,WED,65.39130435
ATL-MDT,THU,62.7
ATL-MDT,FRI,38.93333333
ATL-MDT,SAT,107.7272727
ATL-MDW,SUN,49.11578947
ATL-MDW,MON,68.08
ATL-MDW,TUE,67.9122807
ATL-MDW,WED,65.36893204
ATL-MDW,THU,53.12820513
ATL-MDW,FRI,53.41584158
ATL-MDW,SAT,52.59302326
ATL-MEM,SUN,39.52083333
ATL-MEM,MON,58.84375
ATL-MEM,TUE,53.83606557
ATL-MEM,WED,65.32142857
ATL-MEM,THU,57.68539326
ATL-MEM,FRI,43.52941176
ATL-MEM,SAT,37.28571429
ATL-MGM,SUN,53.67692308
ATL-MGM,MON,64.60526316
ATL-MGM,TUE,55.5483871
ATL-MGM,WED,56
ATL-MGM,THU,58.82051282
ATL-MGM,FRI,51.56923077
ATL-MGM,SAT,49.34482759
ATL-MHT,SUN,35.5
ATL-MHT,MON,66.75
ATL-MHT,TUE,68.375
ATL-MHT,WED,55.33333333
ATL-MHT,THU,62.125
ATL-MHT,FRI,71.71428571
ATL-MHT,SAT,35.5
ATL-MIA,SUN,44.90526316
ATL-MIA,MON,45.87619048
ATL-MIA,TUE,55.56190476
ATL-MIA,WED,57.53043478
